datetime,country_unmet_demand,country_met_demand,ifft_unmet_demand,ifft_met_demand,country_total_demand,ifft_total_demand
2021-09-24 00:00:00,6,82.0,35.82416519061215,193.12519956007884,88.0,224.09457398323366
2021-09-24 01:00:00,4,46.0,26.443106540750005,157.7773508000145,50.0,172.87524838371775
2021-09-24 02:00:00,8,26.0,16.700997343419008,121.92127347217689,34.0,121.31012112570525
2021-09-24 03:00:00,2,25.0,8.156872829122095,90.81483290306129,27.0,77.72406213859722
2021-09-24 04:00:00,4,18.0,2.0842637656313596,69.04090895788893,22.0,48.6959646469698
2021-09-24 05:00:00,4,32.0,0.8452584386321288,59.44575196516349,36.0,37.67928311743273
2021-09-24 06:00:00,20,159.0,0.5618503191545692,61.93589739457206,179.0,44.4498832993694
2021-09-24 07:00:00,24,161.0,2.5430824485634855,73.96805969455778,185.0,65.37501621854949
2021-09-24 08:00:00,32,143.0,7.174112252903419,92.29815507750283,175.0,94.52737214259157
2021-09-24 09:00:00,14,113.0,12.335248531412512,113.53251490733356,127.0,125.38545945597286
2021-09-24 10:00:00,14,96.0,17.062907321477272,134.52460406642447,110.0,152.53415374257577
2021-09-24 11:00:00,42,130.0,20.816561939139884,153.07205989589775,172.0,172.95863426815592
2021-09-24 12:00:00,44,164.0,23.579185613677417,168.41358353883786,208.0,186.60314584787406
2021-09-24 13:00:00,38,173.0,25.804634388283464,181.28025987276476,211.0,196.05729147901468
2021-09-24 14:00:00,54,169.0,28.225269775809394,193.47561309640912,223.0,205.47544302489996
2021-09-24 15:00:00,50,183.0,31.5767668513153,207.06180409100406,233.0,219.0467045812273
2021-09-24 16:00:00,114,211.0,36.31937926766084,223.36683862053903,325.0,239.45592837179316
2021-09-24 17:00:00,122,308.0,42.43432494102655,242.1987235816743,430.0,266.7766525343746
2021-09-24 18:00:00,154,358.0,49.35478300528282,261.6320702084354,512.0,298.1178484969707
2021-09-24 19:00:00,82,315.0,56.056712574830726,278.4297150368976,397.0,328.14267470335477
2021-09-24 20:00:00,92,291.0,61.290174973156404,288.87785429330813,383.0,350.3392489266671
2021-09-24 21:00:00,196,279.0,63.891423532028945,289.75565671384095,475.0,358.71332987231136
