,Ang Mo Kio,Bedok,Bidadari,Bishan,Bukit Batok,Bukit Merah,Bukit Panjang,Bukit Timah,Central,Changi,Choa Chu Kang,Clementi,Geylang,Hougang,Jurong East,Jurong West,Kallang,Kembangan,Marine Parade,Novena,Pasir Ris,Punggol,Queenstown,Sembawang,Sengkang,Sentosa,Serangoon,Tampines,Toa Payoh,Whampoa,Woodlands,Woodland,Yishun
2021-09-24 00:00:00,4.0,6.0,0.0,4.0,3.0,4.0,5.0,0.0,6.0,0.0,4.0,2.0,1.0,7.0,3.0,6.0,4.0,0.0,1.0,0.0,2.0,3.0,5.0,3.0,3.0,1.0,4.0,9.0,7.0,2.0,7.0,3.0,6.0
2021-09-24 01:00:00,2.0,3.0,0.0,0.0,3.0,4.0,2.0,1.0,3.0,0.0,1.0,1.0,1.0,6.0,1.0,3.0,2.0,0.0,1.0,0.0,2.0,5.0,2.0,0.0,6.0,0.0,0.0,3.0,4.0,0.0,2.0,1.0,4.0
2021-09-24 02:00:00,3.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0
2021-09-24 03:00:00,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,6.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,1.0
2021-09-24 04:00:00,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,3.0,0.0,1.0
2021-09-24 05:00:00,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2021-09-24 06:00:00,4.0,0.0,0.0,3.0,4.0,4.0,3.0,1.0,13.0,0.0,2.0,5.0,3.0,5.0,4.0,6.0,3.0,1.0,1.0,0.0,1.0,0.0,6.0,0.0,1.0,5.0,1.0,9.0,1.0,0.0,4.0,1.0,3.0
2021-09-24 07:00:00,5.0,1.0,1.0,3.0,7.0,14.0,4.0,4.0,17.0,1.0,10.0,2.0,5.0,6.0,6.0,13.0,6.0,0.0,3.0,2.0,5.0,9.0,9.0,3.0,6.0,2.0,2.0,10.0,1.0,0.0,6.0,1.0,6.0
2021-09-24 08:00:00,8.0,7.0,0.0,1.0,3.0,15.0,3.0,0.0,21.0,2.0,3.0,2.0,7.0,8.0,1.0,5.0,5.0,2.0,3.0,1.0,4.0,4.0,5.0,3.0,6.0,2.0,4.0,11.0,5.0,2.0,18.0,1.0,7.0
2021-09-24 09:00:00,4.0,10.0,1.0,0.0,1.0,13.0,1.0,3.0,14.0,2.0,6.0,2.0,7.0,4.0,3.0,6.0,8.0,0.0,2.0,0.0,3.0,2.0,10.0,2.0,5.0,2.0,2.0,12.0,2.0,2.0,6.0,1.0,7.0
2021-09-24 10:00:00,2.0,1.0,2.0,2.0,3.0,7.0,4.0,2.0,12.0,1.0,2.0,1.0,8.0,1.0,0.0,4.0,6.0,1.0,6.0,0.0,0.0,2.0,4.0,1.0,3.0,0.0,2.0,5.0,5.0,0.0,4.0,1.0,4.0
2021-09-24 11:00:00,5.0,7.0,0.0,2.0,3.0,10.0,2.0,1.0,15.0,2.0,5.0,0.0,3.0,3.0,2.0,3.0,7.0,2.0,3.0,1.0,3.0,4.0,5.0,0.0,6.0,0.0,3.0,4.0,5.0,0.0,2.0,0.0,9.0
2021-09-24 12:00:00,5.0,8.0,2.0,3.0,3.0,6.0,1.0,1.0,20.0,1.0,7.0,4.0,9.0,7.0,7.0,4.0,7.0,1.0,2.0,0.0,4.0,5.0,5.0,4.0,12.0,0.0,2.0,5.0,5.0,0.0,4.0,0.0,6.0
2021-09-24 13:00:00,6.0,6.0,0.0,2.0,5.0,7.0,4.0,2.0,21.0,1.0,10.0,3.0,13.0,12.0,3.0,10.0,13.0,0.0,1.0,1.0,7.0,5.0,10.0,4.0,4.0,2.0,5.0,15.0,6.0,2.0,7.0,0.0,4.0
2021-09-24 14:00:00,7.0,4.0,0.0,6.0,7.0,11.0,2.0,0.0,20.0,0.0,5.0,3.0,5.0,4.0,4.0,9.0,10.0,2.0,2.0,0.0,6.0,4.0,12.0,4.0,10.0,0.0,2.0,11.0,3.0,0.0,9.0,0.0,4.0
2021-09-24 15:00:00,4.0,2.0,0.0,5.0,5.0,8.0,5.0,1.0,12.0,1.0,4.0,2.0,2.0,10.0,8.0,4.0,7.0,1.0,4.0,0.0,6.0,12.0,8.0,3.0,10.0,3.0,5.0,16.0,0.0,2.0,12.0,3.0,9.0
2021-09-24 16:00:00,10.0,5.0,1.0,1.0,3.0,7.0,2.0,6.0,19.0,3.0,7.0,6.0,6.0,10.0,2.0,9.0,5.0,0.0,5.0,1.0,7.0,15.0,2.0,4.0,11.0,2.0,7.0,22.0,4.0,0.0,9.0,2.0,8.0
2021-09-24 17:00:00,6.0,10.0,1.0,3.0,3.0,14.0,6.0,4.0,25.0,1.0,9.0,1.0,6.0,18.0,5.0,13.0,5.0,0.0,7.0,1.0,15.0,12.0,10.0,4.0,14.0,3.0,9.0,10.0,1.0,0.0,13.0,0.0,10.0
