,Ang Mo Kio,Bedok,Bidadari,Bishan,Bukit Batok,Bukit Merah,Bukit Panjang,Bukit Timah,Central,Changi,Choa Chu Kang,Clementi,Geylang,Hougang,Jurong East,Jurong West,Kallang,Kembangan,Marine Parade,Novena,Pasir Ris,Punggol,Queenstown,Sembawang,Sengkang,Sentosa,Serangoon,Tampines,Toa Payoh,Whampoa,Woodlands,Woodland,Yishun
0,5.0,5.0,1.0,1.0,1.0,3.0,3.0,0.0,11.0,0.0,0.0,3.0,2.0,5.0,4.0,8.0,6.0,0.0,0.0,0.0,4.0,2.0,3.0,0.0,6.0,0.0,2.0,3.0,4.0,2.0,3.0,3.0,3.0
1,5.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,7.0,1.0,0.0,0.0,0.0,5.0,3.0,2.0,0.0,3.0,0.0,2.0,4.0,1.0,0.0,1.0,0.0,3.0
2,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0
3,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,2.0,0.0,1.0,0.0,3.0,1.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0
4,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,1.0
5,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,4.0,2.0,1.0,3.0,1.0,1.0,3.0,2.0,1.0,2.0,0.0,1.0
6,6.0,3.0,0.0,4.0,5.0,5.0,6.0,0.0,3.0,0.0,9.0,4.0,0.0,8.0,4.0,11.0,3.0,0.0,1.0,0.0,13.0,13.0,1.0,5.0,12.0,0.0,4.0,17.0,2.0,0.0,13.0,4.0,12.0
7,6.0,0.0,0.0,4.0,9.0,5.0,6.0,3.0,6.0,0.0,4.0,4.0,3.0,10.0,3.0,7.0,7.0,1.0,0.0,1.0,8.0,16.0,3.0,2.0,16.0,2.0,3.0,16.0,5.0,0.0,10.0,0.0,8.0
8,3.0,7.0,0.0,2.0,7.0,5.0,6.0,0.0,7.0,2.0,5.0,1.0,1.0,10.0,0.0,3.0,1.0,2.0,2.0,0.0,10.0,15.0,2.0,2.0,10.0,0.0,5.0,16.0,3.0,0.0,10.0,3.0,8.0
9,3.0,6.0,0.0,3.0,2.0,8.0,2.0,2.0,4.0,0.0,8.0,1.0,4.0,9.0,3.0,8.0,1.0,1.0,0.0,0.0,6.0,7.0,3.0,1.0,6.0,0.0,1.0,9.0,4.0,0.0,11.0,1.0,2.0
10,2.0,2.0,2.0,1.0,4.0,3.0,6.0,0.0,7.0,2.0,6.0,1.0,4.0,4.0,5.0,7.0,2.0,0.0,1.0,1.0,3.0,4.0,1.0,5.0,5.0,0.0,1.0,3.0,2.0,0.0,7.0,1.0,8.0
11,6.0,6.0,0.0,2.0,4.0,5.0,5.0,2.0,13.0,2.0,10.0,0.0,5.0,5.0,2.0,7.0,2.0,1.0,2.0,0.0,2.0,3.0,7.0,4.0,4.0,1.0,6.0,10.0,3.0,0.0,10.0,2.0,6.0
