,Ang Mo Kio,Bedok,Bidadari,Bishan,Bukit Batok,Bukit Merah,Bukit Panjang,Bukit Timah,Central,Changi,Choa Chu Kang,Clementi,Geylang,Hougang,Jurong East,Jurong West,Kallang,Kembangan,Marine Parade,Novena,Pasir Ris,Punggol,Queenstown,Sembawang,Sengkang,Sentosa,Serangoon,Tampines,Toa Payoh,Whampoa,Woodlands,Woodland,Yishun
2021-09-24 00:00:00,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-24 01:00:00,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2021-09-24 02:00:00,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2021-09-24 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2021-09-24 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
2021-09-24 05:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2021-09-24 06:00:00,4,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,4,2,2,0,0,2,2,0,0,0,0,0,0,0,0
2021-09-24 07:00:00,2,2,0,0,4,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0
2021-09-24 08:00:00,0,4,0,0,2,2,0,0,0,0,2,0,2,0,0,0,6,0,0,0,2,0,0,2,0,0,0,2,0,0,6,0,2
2021-09-24 09:00:00,0,0,0,0,0,2,0,0,2,0,0,0,2,2,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0
2021-09-24 10:00:00,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,4,2,0,0,0,0,2,0,0,0,0,0,0
2021-09-24 11:00:00,6,2,0,4,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,6,6,0,2,2,0,0,4,0,0,0,0,2
2021-09-24 12:00:00,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,14,0,0,0,0,4,2,2,0,4,0,2,4,0,0,4,2,0
2021-09-24 13:00:00,0,0,0,0,6,0,0,2,0,0,6,0,0,0,0,8,0,0,0,0,4,4,2,0,0,0,0,4,0,0,2,0,0
2021-09-24 14:00:00,0,0,0,0,4,4,0,0,0,0,6,2,0,4,4,14,0,0,0,0,2,0,0,0,6,0,0,4,0,0,4,0,0
2021-09-24 15:00:00,0,2,0,0,2,2,0,0,2,0,4,0,2,2,0,12,0,0,0,0,4,4,2,0,0,0,4,2,0,0,2,0,4
2021-09-24 16:00:00,0,0,4,0,4,4,8,0,8,0,12,0,0,4,6,24,0,0,0,0,8,2,10,0,4,0,2,4,2,0,6,0,2
2021-09-24 17:00:00,0,0,2,2,4,0,2,2,8,0,12,4,4,12,2,24,2,0,0,2,18,0,6,2,4,0,2,2,0,0,6,0,0
